noise_param,dephase_log_neg,dephase_K_D_PLOB,dephase_gap_bits,depol_log_neg,depol_E_R,depol_gap_bits
0.2200,0.6415460291,0.2398324970,0.4017135320,0.7398481027,0.0923431115,0.6475049912
0.2210,0.6396952334,0.2380107255,0.4016845079,0.7385516865,0.0894028485,0.6491488380
0.2220,0.6378420603,0.2361973341,0.4016447263,0.7372541043,0.0864684543,0.6507856500
0.2230,0.6359865037,0.2343922956,0.4015942081,0.7359553540,0.0835399077,0.6524154463
0.2240,0.6341285575,0.2325955834,0.4015329741,0.7346554335,0.0806171877,0.6540382457
0.2250,0.6322682155,0.2308071710,0.4014610445,0.7333543406,0.0777002736,0.6556540670
0.2260,0.6304054715,0.2290270321,0.4013784394,0.7320520733,0.0747891448,0.6572629285
0.2270,0.6285403193,0.2272551408,0.4012851785,0.7307486294,0.0718837808,0.6588648487
0.2280,0.6266727526,0.2254914713,0.4011812813,0.7294440068,0.0689841614,0.6604598454
0.2290,0.6248027653,0.2237359983,0.4010667670,0.7281382034,0.0660902667,0.6620479367
0.2300,0.6229303509,0.2219886965,0.4009416545,0.7268312170,0.0632020768,0.6636291403
0.2310,0.6210555033,0.2202495408,0.4008059625,0.7255230455,0.0603195720,0.6652034735
0.2320,0.6191782161,0.2185185068,0.4006597093,0.7242136868,0.0574427329,0.6667709539
0.2330,0.6172984828,0.2167955697,0.4005029131,0.7229031386,0.0545715401,0.6683315984
0.2340,0.6154162973,0.2150807055,0.4003355918,0.7215913988,0.0517059746,0.6698854242
0.2350,0.6135316529,0.2133738900,0.4001577629,0.7202784652,0.0488460174,0.6714324478
0.2360,0.6116445434,0.2116750996,0.3999694438,0.7189643358,0.0459916497,0.6729726861
0.2370,0.6097549622,0.2099843107,0.3997706515,0.7176490082,0.0431428529,0.6745061553
0.2380,0.6078629028,0.2083014999,0.3995614030,0.7163324803,0.0402996085,0.6760328718
0.2390,0.6059683588,0.2066266442,0.3993417147,0.7150147499,0.0374618983,0.6775528516
0.2400,0.6040713237,0.2049597206,0.3991116031,0.7136958148,0.0346297041,0.6790661107
0.2410,0.6021717908,0.2033007066,0.3988710841,0.7123756729,0.0318030081,0.6805726648
0.2420,0.6002697535,0.2016495797,0.3986201738,0.7110543218,0.0289817923,0.6820725295
0.2430,0.5983652053,0.2000063176,0.3983588877,0.7097317594,0.0261660392,0.6835657203
0.2440,0.5964581396,0.1983708984,0.3980872411,0.7084079835,0.0233557312,0.6850522523
0.2450,0.5945485496,0.1967433002,0.3978052493,0.7070829918,0.0205508510,0.6865321408
0.2460,0.5926364286,0.1951235015,0.3975129272,0.7057567820,0.0177513815,0.6880054006
0.2470,0.5907217700,0.1935114807,0.3972102893,0.7044293521,0.0149573055,0.6894720466
0.2480,0.5888045670,0.1919072168,0.3968973502,0.7031006996,0.0121686063,0.6909320933
0.2490,0.5868848129,0.1903106887,0.3965741242,0.7017708224,0.0093852670,0.6923855554
0.2500,0.5849625007,0.1887218755,0.3962406252,0.7004397181,0.0066072710,0.6938324472
0.2510,0.5830376238,0.1871407568,0.3958968670,0.6991073846,0.0038346019,0.6952727827
0.2520,0.5811101752,0.1855673121,0.3955428632,0.6977738196,0.0010672434,0.6967065762
0.2530,0.5791801481,0.1840015210,0.3951786271,0.6964390207,0.0000000000,0.6964390207
0.2540,0.5772475356,0.1824433637,0.3948041719,0.6951029856,0.0000000000,0.6951029856
0.2550,0.5753123307,0.1808928202,0.3944195105,0.6937657122,0.0000000000,0.6937657122
0.2560,0.5733745264,0.1793498708,0.3940246556,0.6924271981,0.0000000000,0.6924271981
0.2570,0.5714341159,0.1778144961,0.3936196198,0.6910874410,0.0000000000,0.6910874410
0.2580,0.5694910920,0.1762866767,0.3932044153,0.6897464385,0.0000000000,0.6897464385
0.2590,0.5675454476,0.1747663935,0.3927790542,0.6884041884,0.0000000000,0.6884041884
0.2600,0.5655971759,0.1732536275,0.3923435483,0.6870606883,0.0000000000,0.6870606883
0.2610,0.5636462695,0.1717483600,0.3918979095,0.6857159360,0.0000000000,0.6857159360
0.2620,0.5616927214,0.1702505722,0.3914421492,0.6843699290,0.0000000000,0.6843699290
0.2630,0.5597365244,0.1687602458,0.3909762786,0.6830226651,0.0000000000,0.6830226651
0.2640,0.5577776714,0.1672773625,0.3905003089,0.6816741418,0.0000000000,0.6816741418
0.2650,0.5558161551,0.1658019041,0.3900142509,0.6803243568,0.0000000000,0.6803243568
0.2660,0.5538519682,0.1643338528,0.3895181154,0.6789733079,0.0000000000,0.6789733079
0.2670,0.5518851035,0.1628731906,0.3890119129,0.6776209925,0.0000000000,0.6776209925
0.2680,0.5499155536,0.1614199000,0.3884956536,0.6762674083,0.0000000000,0.6762674083
0.2690,0.5479433113,0.1599739635,0.3879693478,0.6749125529,0.0000000000,0.6749125529
0.2700,0.5459683691,0.1585353638,0.3874330053,0.6735564240,0.0000000000,0.6735564240
0.2710,0.5439907197,0.1571040837,0.3868866360,0.6721990191,0.0000000000,0.6721990191
0.2720,0.5420103555,0.1556801062,0.3863302493,0.6708403359,0.0000000000,0.6708403359
0.2730,0.5400272693,0.1542634145,0.3857638547,0.6694803719,0.0000000000,0.6694803719
0.2740,0.5380414533,0.1528539919,0.3851874615,0.6681191247,0.0000000000,0.6681191247
